,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
410,9,10,261.1653184890747,0.0005,3,10,0.0,10,fl,-49.063127188062445,1.71112514594056,1.635587717090798
424,1,10,1394.911241054535,0.0005,3,10,1.0,50,central,-15.310681104646017,0.21574681054714126,
425,1,10,1394.911241054535,0.0005,3,10,1.0,50,local,-16.064078597100327,0.8077694584772903,0.7750757083966426
426,1,10,1394.911241054535,0.0005,3,10,1.0,50,fl,-15.577720296701226,0.5596803845596016,0.5133137222026177
428,9,10,1323.2139782905579,0.0005,3,10,1.0,25,central,-15.402218162831185,0.27644260202912324,
429,9,10,1323.2139782905579,0.0005,3,10,1.0,25,local,-17.601562374892772,1.1109386264359213,1.0822506258980333
430,9,10,1323.2139782905579,0.0005,3,10,1.0,25,fl,-16.005597493051486,0.7585255757796808,0.7060524905231476
444,2,10,1265.0832278728485,0.0005,3,10,1.0,25,central,-15.451462127164152,0.28607687160550993,
445,2,10,1265.0832278728485,0.0005,3,10,1.0,25,local,-18.034039734845447,1.0051111285352763,0.9634942197308088
446,2,10,1265.0832278728485,0.0005,3,10,1.0,25,fl,-16.058635316440586,0.6796439465108595,0.6226677528248749
456,2,10,256.07304215431213,0.0005,3,10,0.0,10,central,-15.647812286403086,0.5638374108057044,
457,2,10,256.07304215431213,0.0005,3,10,0.0,10,local,-65.25132264649162,1.589208547138347,1.501368379400603
458,2,10,256.07304215431213,0.0005,3,10,0.0,10,fl,-65.33351926737757,1.5884820301338454,1.5001667799410066
464,7,10,173.82604789733887,0.0005,3,10,0.0,50,central,-15.313796019163012,0.2567044241472558,
465,7,10,173.82604789733887,0.0005,3,10,0.0,50,local,-16.041019831995218,0.7521456035694849,0.7083208743214682
466,7,10,173.82604789733887,0.0005,3,10,0.0,50,fl,-16.04452276218056,0.7505021068136053,0.706574871264048
472,5,10,1241.9067227840424,0.0005,3,10,0.5,100,central,-15.345067270892693,0.15414259025469554,
473,5,10,1241.9067227840424,0.0005,3,10,0.5,100,local,-15.645428661617478,0.5091219002578427,0.48273614715226554
474,5,10,1241.9067227840424,0.0005,3,10,0.5,100,fl,-15.532995201196863,0.4177441214466744,0.38505788661142015
476,3,10,727.1291272640228,0.0005,3,10,0.5,10,central,-15.525189560935626,0.5063304833352393,
477,3,10,727.1291272640228,0.0005,3,10,0.5,10,local,-35.65940129651992,1.7549925822857513,1.6862847582521887
478,3,10,727.1291272640228,0.0005,3,10,0.5,10,fl,-18.72984803262264,1.4037737075929448,1.3152262529150978
484,9,10,1228.1288571357727,0.0005,3,10,1.0,100,central,-15.335992525531832,0.20597861897776892,
485,9,10,1228.1288571357727,0.0005,3,10,1.0,100,local,-15.647580162043829,0.566248837780845,0.5265570528266035
486,9,10,1228.1288571357727,0.0005,3,10,1.0,100,fl,-15.464757147037716,0.4000269574976597,0.3450816754560669
500,4,10,270.9406478404999,0.0005,3,10,0.0,100,central,-15.295570541767182,0.18417440400378168,
501,4,10,270.9406478404999,0.0005,3,10,0.0,100,local,-15.606428815472867,0.5450708039252021,0.5131908740078184
502,4,10,270.9406478404999,0.0005,3,10,0.0,100,fl,-15.609315207669638,0.5477179324766264,0.5156509041307389
504,6,10,837.4323415756226,0.0005,3,10,0.5,50,central,-15.336006028202036,0.21841783769651343,
505,6,10,837.4323415756226,0.0005,3,10,0.5,50,local,-16.16056522147675,0.7572196813434813,0.727240098109595
506,6,10,837.4323415756226,0.0005,3,10,0.5,50,fl,-15.7748176608501,0.6134346270022194,0.5736400677914408
524,6,10,1341.3952355384827,0.0005,3,10,1.0,50,central,-15.336006028202036,0.21841783769651343,
525,6,10,1341.3952355384827,0.0005,3,10,1.0,50,local,-16.16056522147676,0.7572196813434809,0.7272400981095947
526,6,10,1341.3952355384827,0.0005,3,10,1.0,50,fl,-15.637078282512968,0.5288036664712502,0.4801029115377634
540,3,10,277.48658418655396,0.0005,3,10,0.0,25,central,-15.436279050078753,0.36873526745717095,
541,3,10,277.48658418655396,0.0005,3,10,0.0,25,local,-17.89480682987574,1.0494931920365567,0.9868959198618372
542,3,10,277.48658418655396,0.0005,3,10,0.0,25,fl,-17.90656937768405,1.0494354526186338,0.9877659263113546
548,9,10,1328.1812672615051,0.0005,3,10,0.5,100,central,-15.335992525531832,0.20597861897776892,
549,9,10,1328.1812672615051,0.0005,3,10,0.5,100,local,-15.647580162043829,0.566248837780845,0.5265570528266035
550,9,10,1328.1812672615051,0.0005,3,10,0.5,100,fl,-15.515877198946598,0.45855441426947996,0.4102091039371058
560,3,10,1171.795883655548,0.0005,3,10,1.0,10,central,-15.525189560935626,0.5063304833352388,
561,3,10,1171.795883655548,0.0005,3,10,1.0,10,local,-35.65940129651993,1.7549925822857522,1.6862847582521892
562,3,10,1171.795883655548,0.0005,3,10,1.0,10,fl,-17.29894649899703,1.1993153135286598,1.0905881555253918
564,5,10,1327.7889239788055,0.0005,3,10,1.0,100,central,-15.345067270892693,0.15414259025469554,
565,5,10,1327.7889239788055,0.0005,3,10,1.0,100,local,-15.645428661617478,0.5091219002578427,0.48273614715226554
566,5,10,1327.7889239788055,0.0005,3,10,1.0,100,fl,-15.486694021944128,0.36775286367978016,0.33049606481664173
580,8,10,179.30768537521362,0.0005,3,10,0.0,100,central,-15.315022443559972,0.172147764430724,
581,8,10,179.30768537521362,0.0005,3,10,0.0,100,local,-15.657014295240367,0.5405059196435034,0.5113649054709957
582,8,10,179.30768537521362,0.0005,3,10,0.0,100,fl,-15.661488216947507,0.541658933244183,0.5123332191114537
584,2,10,1235.6908657550812,0.0005,3,10,0.5,25,central,-15.451462127164152,0.28607687160550993,
585,2,10,1235.6908657550812,0.0005,3,10,0.5,25,local,-18.034039734845447,1.0051111285352763,0.9634942197308088
586,2,10,1235.6908657550812,0.0005,3,10,0.5,25,fl,-16.452888531903174,0.8040863533251347,0.7543584375805352
600,3,10,1387.0343489646912,0.0005,3,10,0.5,25,central,-15.436279050078753,0.36873526745717095,
601,3,10,1387.0343489646912,0.0005,3,10,0.5,25,local,-17.89480682987574,1.0494931920365567,0.9868959198618372
602,3,10,1387.0343489646912,0.0005,3,10,0.5,25,fl,-16.455175489474648,0.8578179800857779,0.7793602143598328
620,9,10,160.51716923713684,0.0005,3,10,0.0,100,central,-15.335992525531832,0.20597861897776903,
621,9,10,160.51716923713684,0.0005,3,10,0.0,100,local,-15.647580162043838,0.5662488377808451,0.5265570528266035
622,9,10,160.51716923713684,0.0005,3,10,0.0,100,fl,-15.647300809335784,0.564357653294091,0.5248338315337413
632,4,10,1116.4733173847198,0.0005,3,10,1.0,100,central,-15.295570541767182,0.18417440400378168,
633,4,10,1116.4733173847198,0.0005,3,10,1.0,100,local,-15.606428815472867,0.5450708039252021,0.5131908740078184
634,4,10,1116.4733173847198,0.0005,3,10,1.0,100,fl,-15.433634050473577,0.3979888126569085,0.35392165344540005
636,8,10,1416.0200939178467,0.0005,3,10,0.5,100,central,-15.31502244355996,0.17214776443072433,
637,8,10,1416.0200939178467,0.0005,3,10,0.5,100,local,-15.657014295240364,0.5405059196435037,0.5113649054709956
638,8,10,1416.0200939178467,0.0005,3,10,0.5,100,fl,-15.526753484178297,0.4415389539278288,0.4035629415100191
648,2,10,1382.3233799934387,0.0005,3,10,1.0,10,central,-15.647812286403086,0.5638374108057044,
649,2,10,1382.3233799934387,0.0005,3,10,1.0,10,local,-65.25132264649162,1.589208547138347,1.501368379400603
650,2,10,1382.3233799934387,0.0005,3,10,1.0,10,fl,-17.263080429335577,1.1118054890274485,0.972153742504972
664,2,10,262.88597416877747,0.0005,3,10,0.0,25,central,-15.451462127164152,0.28607687160550993,
665,2,10,262.88597416877747,0.0005,3,10,0.0,25,local,-18.034039734845447,1.0051111285352763,0.9634942197308088
666,2,10,262.88597416877747,0.0005,3,10,0.0,25,fl,-18.051866754589756,1.0061694877762832,0.964700315610289
680,7,10,1341.7135894298553,0.0005,3,10,1.0,50,central,-15.313796019163018,0.25670442414725675,
681,7,10,1341.7135894298553,0.0005,3,10,1.0,50,local,-16.04101983199522,0.7521456035694849,0.7083208743214682
682,7,10,1341.7135894298553,0.0005,3,10,1.0,50,fl,-15.577488388990364,0.5328328137322785,0.46809796257763914
684,7,10,972.2811071872711,0.0005,3,10,0.5,50,central,-15.313796019163012,0.2567044241472558,
685,7,10,972.2811071872711,0.0005,3,10,0.5,50,local,-16.041019831995218,0.7521456035694849,0.7083208743214682
686,7,10,972.2811071872711,0.0005,3,10,0.5,50,fl,-15.705891607866757,0.6125677189026347,0.5582828854878629
700,5,10,262.07900834083557,0.0005,3,10,0.0,100,central,-15.345067270892693,0.15414259025469554,
701,5,10,262.07900834083557,0.0005,3,10,0.0,100,local,-15.645428661617478,0.5091219002578427,0.48273614715226554
702,5,10,262.07900834083557,0.0005,3,10,0.0,100,fl,-15.643451175554967,0.5081540486181104,0.48110077406600427
708,2,10,1378.9929118156433,0.0005,3,10,0.5,10,central,-15.647812286403086,0.5638374108057044,
709,2,10,1378.9929118156433,0.0005,3,10,0.5,10,local,-65.25132264649162,1.589208547138347,1.501368379400603
710,2,10,1378.9929118156433,0.0005,3,10,0.5,10,fl,-18.728122664208886,1.2907964332860884,1.1756195164354095
716,8,10,862.8722681999207,0.0005,3,10,1.0,100,central,-15.315022443559972,0.172147764430724,
717,8,10,862.8722681999207,0.0005,3,10,1.0,100,local,-15.657014295240367,0.5405059196435034,0.5113649054709957
718,8,10,862.8722681999207,0.0005,3,10,1.0,100,fl,-15.47148777401556,0.3859153893754609,0.3422893353639819
728,4,10,1277.7770507335663,0.0005,3,10,0.5,100,central,-15.295570541767182,0.18417440400378168,
