,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
397,4,10,1366.6594035625458,0.0005,6,10,0.5,10,local,-5596.907981625161,14.611164415173254,14.626254796321252
398,4,10,1366.6594035625458,0.0005,6,10,0.5,10,fl,-31.56083040397051,14.036593563333948,14.050723865938597
420,2,10,1550.9795525074005,0.0005,6,10,0.5,100,central,-85.84779153690053,3.2377757494690314,
421,2,10,1550.9795525074005,0.0005,6,10,0.5,100,local,-543.1975855991254,13.10603463641832,11.521955431228841
422,2,10,1550.9795525074005,0.0005,6,10,0.5,100,fl,-22.113015402217684,10.9191661381054,9.778103351993973
428,8,10,1327.131140947342,0.0005,6,10,1.0,10,central,-10.175491834900996,0.4274062623373056,
429,8,10,1327.131140947342,0.0005,6,10,1.0,10,local,-4901.150647560617,16.083434622657016,16.078109342105
430,8,10,1327.131140947342,0.0005,6,10,1.0,10,fl,-30.919164076951365,15.21704874134106,15.2115218874958
436,8,10,97.55703353881836,0.0005,6,10,0.0,25,central,-9.629951725947937,0.2851097845746242,
437,8,10,97.55703353881836,0.0005,6,10,0.0,25,local,-1182.264835977075,16.032018876447648,15.99258347550265
438,8,10,97.55703353881836,0.0005,6,10,0.0,25,fl,-1134.8435186900085,15.857574585203219,15.824791105613127
440,0,10,266.2522668838501,0.0005,6,10,0.0,50,central,-86.70506956878504,4.770281850331641,
441,0,10,266.2522668838501,0.0005,6,10,0.0,50,local,-602.0202770564006,11.684876461708802,11.320894707022578
442,0,10,266.2522668838501,0.0005,6,10,0.0,50,fl,-606.4481872942993,11.756098442702449,11.179038563318352
468,5,10,269.91852855682373,0.0005,6,10,0.0,10,central,-10.067619072105519,0.36176784066543144,
469,5,10,269.91852855682373,0.0005,6,10,0.0,10,local,-5578.527958559003,13.898049390311485,13.899389628413491
470,5,10,269.91852855682373,0.0005,6,10,0.0,10,fl,-8696.147398254681,14.016607235923733,14.020375674499835
504,5,10,1305.924721956253,0.0005,6,10,1.0,25,central,-9.707418665473245,0.27025449375171684,
505,5,10,1305.924721956253,0.0005,6,10,1.0,25,local,-1025.787263350679,13.601092134644777,13.600627962019232
506,5,10,1305.924721956253,0.0005,6,10,1.0,25,fl,-24.21208441369971,11.62244115788745,11.61099457542737
516,5,10,1270.764189004898,0.0005,6,10,0.5,25,central,-9.707418665473245,0.27025449375171684,
517,5,10,1270.764189004898,0.0005,6,10,0.5,25,local,-1025.787263350679,13.601092134644777,13.600627962019232
518,5,10,1270.764189004898,0.0005,6,10,0.5,25,fl,-24.847378213631217,11.75265363493289,11.743249153681615
560,8,10,1369.2545237541199,0.0005,6,10,0.5,10,central,-10.175491834900996,0.4274062623373056,
561,8,10,1369.2545237541199,0.0005,6,10,0.5,10,local,-4901.150647560617,16.083434622657016,16.078109342105
562,8,10,1369.2545237541199,0.0005,6,10,0.5,10,fl,-33.784255591421335,15.485421809357266,15.480209591624273
568,2,10,1508.178388595581,0.0005,6,10,1.0,100,central,-85.84779153690053,3.2377757494690314,
569,2,10,1508.178388595581,0.0005,6,10,1.0,100,local,-543.1975855991254,13.10603463641832,11.521955431228841
570,2,10,1508.178388595581,0.0005,6,10,1.0,100,fl,-21.727862253672917,11.006555983272833,9.841586983038146
584,4,10,1289.695078611374,0.0005,6,10,1.0,10,central,-10.122424536955524,0.4227665610072931,
585,4,10,1289.695078611374,0.0005,6,10,1.0,10,local,-5596.907981625161,14.611164415173254,14.626254796321252
586,4,10,1289.695078611374,0.0005,6,10,1.0,10,fl,-29.22615232727899,13.95268453926332,13.967679072297562
620,4,10,147.97881531715393,0.0005,6,10,0.0,25,central,-9.620641784406889,0.32478644248660465,
621,4,10,147.97881531715393,0.0005,6,10,0.0,25,local,-1098.1592002803764,13.989118312208692,13.974279604133468
622,4,10,147.97881531715393,0.0005,6,10,0.0,25,fl,-1061.9397961890008,14.092154521879204,14.075744091282711
632,9,10,254.6303198337555,0.0005,6,10,0.0,10,central,-10.129485543565721,0.354273826251071,
633,9,10,254.6303198337555,0.0005,6,10,0.0,10,local,-3986.6780714451343,13.342294185588312,13.322146066105114
634,9,10,254.6303198337555,0.0005,6,10,0.0,10,fl,-3720.7313260122164,13.241325446777273,13.21902064422596
652,1,10,1372.2269701957703,0.0005,6,10,1.0,50,central,-9.346665801994696,0.18095246029335765,
653,1,10,1372.2269701957703,0.0005,6,10,1.0,50,local,-569.5346752102535,13.002901212419285,13.017821427946377
654,1,10,1372.2269701957703,0.0005,6,10,1.0,50,fl,-21.086806879782273,10.732457898735523,10.747772630551053
656,9,10,1325.6744859218597,0.0005,6,10,1.0,25,central,-9.477207279858428,0.2693178417907485,
657,9,10,1325.6744859218597,0.0005,6,10,1.0,25,local,-955.6633953973833,13.48486789165305,13.477305720243328
658,9,10,1325.6744859218597,0.0005,6,10,1.0,25,fl,-24.28388827865711,11.729439295629835,11.730142169923308
688,2,10,1361.6061880588531,0.0005,6,10,1.0,25,central,-9.54537264873421,0.3116074281724168,
689,2,10,1361.6061880588531,0.0005,6,10,1.0,25,local,-858.9201409019995,12.459258138010458,12.431800605995868
690,2,10,1361.6061880588531,0.0005,6,10,1.0,25,fl,-24.101306585848842,11.720782052487632,11.692527821628012
724,2,10,274.2774305343628,0.0005,6,10,0.0,10,central,-20.96993794352766,0.47293010609025155,
725,2,10,274.2774305343628,0.0005,6,10,0.0,10,local,-2993.374973252901,13.138563830691561,13.09899219954375
726,2,10,274.2774305343628,0.0005,6,10,0.0,10,fl,-4125.512337335992,13.005815013536685,12.962953764608304
744,7,10,282.8249657154083,0.0005,6,10,0.0,50,central,-9.216362980608832,0.16783033328212216,
745,7,10,282.8249657154083,0.0005,6,10,0.0,50,local,-675.3511378045887,12.491763773702338,12.491136776952182
746,7,10,282.8249657154083,0.0005,6,10,0.0,50,fl,-651.8716398859555,12.66075717910729,12.658786269732397
752,5,10,1320.0683708190918,0.0005,6,10,0.5,100,central,-9.29201608015579,0.14096204143441465,
753,5,10,1320.0683708190918,0.0005,6,10,0.5,100,local,-657.9722625757986,13.826709094679282,13.807764309379134
754,5,10,1320.0683708190918,0.0005,6,10,0.5,100,fl,-23.067477468806594,10.974243560512296,10.950760193107905
760,3,10,1486.041190624237,0.0005,6,10,0.5,10,central,-11.49581204106437,0.4685795952818243,
761,3,10,1486.041190624237,0.0005,6,10,0.5,10,local,-6142.8352603010735,15.223577574307214,15.204596905252481
762,3,10,1486.041190624237,0.0005,6,10,0.5,10,fl,-31.9290649338973,14.213548710395154,14.178087493282415
768,9,10,1262.247031211853,0.0005,6,10,1.0,100,central,-9.351883193814285,0.13957368751382532,
769,9,10,1262.247031211853,0.0005,6,10,1.0,100,local,-591.3888956829595,13.046560429035392,13.034006664223435
770,9,10,1262.247031211853,0.0005,6,10,1.0,100,fl,-20.494590084387408,10.090124799977694,10.072370068842568
792,4,10,273.78367948532104,0.0005,6,10,0.0,100,central,-9.149526079817267,0.11708744317136129,
793,4,10,273.78367948532104,0.0005,6,10,0.0,100,local,-706.7307419461047,14.175612994509482,14.177032157754647
794,4,10,273.78367948532104,0.0005,6,10,0.0,100,fl,-714.4400215815209,14.178553518827115,14.179890035946809
804,6,10,1278.0018646717072,0.0005,6,10,0.5,50,central,-9.160830914248008,0.1600024882434596,
805,6,10,1278.0018646717072,0.0005,6,10,0.5,50,local,-754.677487150886,13.783561249509606,13.770041636831456
806,6,10,1278.0018646717072,0.0005,6,10,0.5,50,fl,-20.713921874777004,10.676026991125084,10.665986192134453
836,6,10,1303.2500290870667,0.0005,6,10,1.0,50,central,-9.160830914248008,0.1600024882434596,
837,6,10,1303.2500290870667,0.0005,6,10,1.0,50,local,-754.677487150886,13.783561249509606,13.770041636831456
838,6,10,1303.2500290870667,0.0005,6,10,1.0,50,fl,-20.4116137433439,10.584417452760771,10.574825789133396
852,3,10,252.2331292629242,0.0005,6,10,0.0,25,central,-9.751845417260947,0.29538968901626644,
853,3,10,252.2331292629242,0.0005,6,10,0.0,25,local,-1118.3262483339481,14.565733622558616,14.577339720823014
854,3,10,252.2331292629242,0.0005,6,10,0.0,25,fl,-1051.6860308462615,15.308317058007379,15.321623758941332
888,9,10,468.4689178466797,0.0005,6,10,0.5,100,central,-9.351883193814292,0.13957368751382565,
889,9,10,468.4689178466797,0.0005,6,10,0.5,100,local,-591.3888956829658,13.046560429035392,13.03400666422343
890,9,10,468.4689178466797,0.0005,6,10,0.5,100,fl,-20.50039593251161,9.925151422217393,9.90868965962709
900,3,10,1332.9555442333221,0.0005,6,10,1.0,10,central,-11.49581204106437,0.4685795952818243,
901,3,10,1332.9555442333221,0.0005,6,10,1.0,10,local,-6142.8352603010735,15.223577574307214,15.204596905252481
902,3,10,1332.9555442333221,0.0005,6,10,1.0,10,fl,-29.327880636581142,14.01290665704784,13.973552729458017
904,5,10,1371.2836327552795,0.0005,6,10,1.0,100,central,-9.29201608015579,0.14096204143441465,
905,5,10,1371.2836327552795,0.0005,6,10,1.0,100,local,-657.9722625757986,13.826709094679282,13.807764309379134
906,5,10,1371.2836327552795,0.0005,6,10,1.0,100,fl,-22.52005789966928,11.105643491809897,11.08202535452876
928,8,10,271.2614469528198,0.0005,6,10,0.0,100,central,-9.25863090562944,0.11275629066854748,
929,8,10,271.2614469528198,0.0005,6,10,0.0,100,local,-881.8007130775843,15.611264766001298,15.614054861385242
930,8,10,271.2614469528198,0.0005,6,10,0.0,100,fl,-871.7039056304327,15.857894687205288,15.85268506041505
932,2,10,524.0837314128876,0.0005,6,10,0.5,25,central,-9.545372648734213,0.3116074281724164,
933,2,10,524.0837314128876,0.0005,6,10,0.5,25,local,-858.9201409019988,12.459258138010458,12.431800605995866
934,2,10,524.0837314128876,0.0005,6,10,0.5,25,fl,-25.0673827337258,11.74726073866631,11.717169541947344
972,3,10,1400.415491104126,0.0005,6,10,0.5,25,central,-9.751845417260947,0.29538968901626644,
973,3,10,1400.415491104126,0.0005,6,10,0.5,25,local,-1118.3262483339481,14.565733622558616,14.577339720823014
974,3,10,1400.415491104126,0.0005,6,10,0.5,25,fl,-26.532086029343617,14.517260400031597,14.506028800706492
992,9,10,271.7747163772583,0.0005,6,10,0.0,100,central,-9.351883193814285,0.13957368751382532,
993,9,10,271.7747163772583,0.0005,6,10,0.0,100,local,-591.3888956829595,13.046560429035392,13.034006664223435
994,9,10,271.7747163772583,0.0005,6,10,0.0,100,fl,-609.7324069309785,13.222978620716862,13.207884491307414
1012,4,10,1340.4311652183533,0.0005,6,10,1.0,100,central,-9.149526079817267,0.11708744317136129,
1013,4,10,1340.4311652183533,0.0005,6,10,1.0,100,local,-706.7307419461047,14.175612994509482,14.177032157754647
1014,4,10,1340.4311652183533,0.0005,6,10,1.0,100,fl,-21.27720096228509,11.089824505796967,11.085842152553024
1016,8,10,481.6113727092743,0.0005,6,10,0.5,100,central,-9.258630905629428,0.11275629066854764,
1017,8,10,481.6113727092743,0.0005,6,10,0.5,100,local,-881.8007130775875,15.611264766001323,15.61405486138526
1018,8,10,481.6113727092743,0.0005,6,10,0.5,100,fl,-22.76425860314712,13.478195566743688,13.469555339338907
1028,2,10,1499.778107881546,0.0005,6,10,1.0,10,central,-20.96993794352766,0.47293010609025155,
1029,2,10,1499.778107881546,0.0005,6,10,1.0,10,local,-2993.374973252901,13.138563830691561,13.09899219954375
1030,2,10,1499.778107881546,0.0005,6,10,1.0,10,fl,-27.725319259993302,12.290731152212004,12.242842901255516
1068,2,10,280.9488515853882,0.0005,6,10,0.0,25,central,-9.54537264873421,0.3116074281724168,
1069,2,10,280.9488515853882,0.0005,6,10,0.0,25,local,-858.9201409019995,12.459258138010458,12.431800605995868
1070,2,10,280.9488515853882,0.0005,6,10,0.0,25,fl,-785.1209109926157,12.609254315220982,12.592436319868806
1088,7,10,1397.4512293338776,0.0005,6,10,1.0,50,central,-9.216362980608832,0.16783033328212216,
1089,7,10,1397.4512293338776,0.0005,6,10,1.0,50,local,-675.3511378045887,12.491763773702338,12.491136776952182
1090,7,10,1397.4512293338776,0.0005,6,10,1.0,50,fl,-20.917404419247728,10.332131266258184,10.31946527211159
1104,7,10,1521.249615907669,0.0005,6,10,0.5,50,central,-9.216362980608832,0.16783033328212216,
1105,7,10,1521.249615907669,0.0005,6,10,0.5,50,local,-675.3511378045887,12.491763773702338,12.491136776952182
1106,7,10,1521.249615907669,0.0005,6,10,0.5,50,fl,-21.307089506684722,10.54779895946075,10.537081809813593
1128,5,10,112.0505599975586,0.0005,6,10,0.0,100,central,-9.292016080155772,0.14096204143441451,
1129,5,10,112.0505599975586,0.0005,6,10,0.0,100,local,-657.9722625758232,13.826709094679284,13.807764309379138
1130,5,10,112.0505599975586,0.0005,6,10,0.0,100,fl,-671.2105601943708,13.702260890515088,13.682372122430394
1144,2,10,1457.608238697052,0.0005,6,10,0.5,10,central,-20.96993794352766,0.47293010609025155,
1145,2,10,1457.608238697052,0.0005,6,10,0.5,10,local,-2993.374973252901,13.138563830691561,13.09899219954375
1146,2,10,1457.608238697052,0.0005,6,10,0.5,10,fl,-29.465094280853044,12.452681691816343,12.40750628540334
1152,8,10,1485.15988779068,0.0005,6,10,1.0,100,central,-9.25863090562944,0.11275629066854748,
