,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
482,0,2.0,10,1136.2025196552277,0.0005,3,10,1.0,100,fl,-17.89377962409447,4.221354559765706,3.846851961410335
484,0,0.2,10,1243.8551890850067,0.0005,3,10,1.0,10,central,-15.6833913220262,0.41644691772293513,
485,0,0.2,10,1243.8551890850067,0.0005,3,10,1.0,10,local,-62.903679096733995,1.77871769112204,1.7220903012803368
486,0,0.2,10,1243.8551890850067,0.0005,3,10,1.0,10,fl,-17.48778925665299,1.339245482074105,1.246115118088728
488,1,2.0,10,1379.9795088768005,0.0005,3,10,1.0,50,central,-22.238191921550037,2.058479016767745,
489,1,2.0,10,1379.9795088768005,0.0005,3,10,1.0,50,local,-16.186121067452,5.804689841915019,5.443229584430197
490,1,2.0,10,1379.9795088768005,0.0005,3,10,1.0,50,fl,-17.586667846738056,4.080061369488582,3.5466481231009035
496,9,1.0,10,1361.791158914566,0.0005,3,10,1.0,25,central,-18.440713157397422,1.190459133090434,
497,9,1.0,10,1361.791158914566,0.0005,3,10,1.0,25,local,-18.232539030669894,3.248562851203664,3.0377306719011328
498,9,1.0,10,1361.791158914566,0.0005,3,10,1.0,25,fl,-16.338113752111063,2.2765638315683203,1.9638912499584973
500,3,1.0,10,1260.0166370868683,0.0005,3,10,1.0,50,central,-18.603843656774433,0.9597278505725776,
501,3,1.0,10,1260.0166370868683,0.0005,3,10,1.0,50,local,-16.101516851003204,3.2214722114665966,3.0776711912187453
502,3,1.0,10,1260.0166370868683,0.0005,3,10,1.0,50,fl,-16.19398455013762,2.1995762851268363,1.9865808716114302
508,2,1.0,10,1302.9239571094513,0.0005,3,10,1.0,100,central,-18.579377063241655,1.1667797110333407,
509,2,1.0,10,1302.9239571094513,0.0005,3,10,1.0,100,local,-15.600128123988487,3.3558973337223,3.1270733864020723
510,2,1.0,10,1302.9239571094513,0.0005,3,10,1.0,100,fl,-16.043295465750543,2.3651737961413963,2.0376810334150464
520,7,1.0,10,1370.8466005325317,0.0005,3,10,1.0,10,central,-18.64376945421285,0.8560998408622615,
521,7,1.0,10,1370.8466005325317,0.0005,3,10,1.0,10,local,-42.87262313979649,3.4186660564636746,3.3242547571067953
522,7,1.0,10,1370.8466005325317,0.0005,3,10,1.0,10,fl,-16.952351108488152,2.2878269441108374,2.125008541239029
532,4,0.2,10,1325.8355085849762,0.0005,3,10,1.0,50,central,-15.470027360709699,0.26275769977977304,
533,4,0.2,10,1325.8355085849762,0.0005,3,10,1.0,50,local,-16.020393286773825,1.008263383596003,0.9765338565919783
534,4,0.2,10,1325.8355085849762,0.0005,3,10,1.0,50,fl,-15.560753092063631,0.6875419051253755,0.6368871555829431
544,5,2.0,10,1295.2146332263947,0.0005,3,10,1.0,10,central,-22.444215552855987,1.9665229204823245,
545,5,2.0,10,1295.2146332263947,0.0005,3,10,1.0,10,local,-102.18577155392254,6.296463451058161,5.956625487761812
546,5,2.0,10,1295.2146332263947,0.0005,3,10,1.0,10,fl,-24.73572088502913,6.170371523597981,5.782460694804178
548,5,0.2,10,1329.2115604877472,0.0005,3,10,1.0,100,central,-15.460021200684526,0.31353158366379086,
549,5,0.2,10,1329.2115604877472,0.0005,3,10,1.0,100,local,-15.589356985916528,0.8202217069356459,0.7606963760638551
550,5,0.2,10,1329.2115604877472,0.0005,3,10,1.0,100,fl,-15.437859617034315,0.5885205046202134,0.503491929386888
648,5,0.2,10,1181.8876309394836,0.0005,3,10,1.0,25,central,-15.526383845659783,0.4204000371023926,
649,5,0.2,10,1181.8876309394836,0.0005,3,10,1.0,25,local,-18.20663105344555,1.2544517164436708,1.180108051652309
650,5,0.2,10,1181.8876309394836,0.0005,3,10,1.0,25,fl,-16.001982350900917,0.8696400178369394,0.757548739063405
668,2,1.0,10,1461.811592578888,0.0005,3,10,1.0,25,central,-18.662945802841186,1.1849712649066746,
669,2,1.0,10,1461.811592578888,0.0005,3,10,1.0,25,local,-17.226748295597115,3.3605710340523958,3.1343860588026327
670,2,1.0,10,1461.811592578888,0.0005,3,10,1.0,25,fl,-16.26893899863982,2.3635148364825267,2.035381020854582
672,8,1.0,10,1387.9525890350342,0.0005,3,10,1.0,50,central,-18.691075318807854,0.9723318806235968,
673,8,1.0,10,1387.9525890350342,0.0005,3,10,1.0,50,local,-16.126054928534217,3.3361944461753117,3.1746051037761562
674,8,1.0,10,1387.9525890350342,0.0005,3,10,1.0,50,fl,-16.25884121468263,2.2688231661500162,2.0523451542851214
676,9,1.0,10,1413.8785784244537,0.0005,3,10,1.0,100,central,-18.3678133694342,1.2942125250219554,
677,9,1.0,10,1413.8785784244537,0.0005,3,10,1.0,100,local,-15.641360817348673,3.2248705693025217,2.9780005664388547
678,9,1.0,10,1413.8785784244537,0.0005,3,10,1.0,100,fl,-16.08176415117382,2.3109918205994417,1.9283351746162203
684,0,2.0,10,1244.0183231830597,0.0005,3,10,1.0,25,central,-22.702845970340185,1.8946309399559922,
685,0,2.0,10,1244.0183231830597,0.0005,3,10,1.0,25,local,-17.939469862096605,6.240850114754532,5.995078710933816
686,0,2.0,10,1244.0183231830597,0.0005,3,10,1.0,25,fl,-18.111819639730157,4.4013876837320725,4.018003688743441
768,2,0.2,10,1248.238181591034,0.0005,3,10,1.0,100,central,-15.467187288191505,0.30105902447553495,
769,2,0.2,10,1248.238181591034,0.0005,3,10,1.0,100,local,-15.600128123988489,0.865000914780104,0.8083097304525164
770,2,0.2,10,1248.238181591034,0.0005,3,10,1.0,100,fl,-15.43852670381796,0.6183969732271282,0.539330615146838
772,2,2.0,10,1132.9970343112946,0.0005,3,10,1.0,10,central,-23.08065966554947,2.2152308325629835,
773,2,2.0,10,1132.9970343112946,0.0005,3,10,1.0,10,local,-52.27798995809409,6.824061614831277,6.445750095790484
774,2,2.0,10,1132.9970343112946,0.0005,3,10,1.0,10,fl,-23.341771643333278,6.33135783839704,5.743303583819363
780,9,0.2,10,1290.4673504829407,0.0005,3,10,1.0,25,central,-15.607309805994896,0.38145458070484795,
