,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
317,8,10,1538.2654159069061,0.0005,3,10,1,10,10.0,local,-48.80616605514216,1.6841980340929692,1.6455683547763988
318,8,10,1538.2654159069061,0.0005,3,10,1,10,10.0,fl,-17.535054896808877,1.2580523645908457,1.1986348026725746
320,2,10,1414.522575378418,0.0005,3,10,1,50,1.0,central,-15.32478474353169,0.3100175905577014,
321,2,10,1414.522575378418,0.0005,3,10,1,50,1.0,local,-18.368225841948895,2.2338781335943443,2.1667662880999936
322,2,10,1414.522575378418,0.0005,3,10,1,50,1.0,fl,-16.511719499516072,1.7927594125483743,1.7044361674066824
324,3,10,1327.066645860672,0.0005,3,10,1,10,0.2,central,-15.474038454048706,0.6267325722908867,
325,3,10,1327.066645860672,0.0005,3,10,1,10,0.2,local,-40.28953202937378,8.37522722948859,8.351502496919496
326,3,10,1327.066645860672,0.0005,3,10,1,10,0.2,fl,-20.946205412285707,7.54921630704124,7.502885444864816
340,4,10,1351.4757013320923,0.0005,3,10,1,10,1.0,central,-15.551360924977441,0.4653156201491597,
341,4,10,1351.4757013320923,0.0005,3,10,1,10,1.0,local,-87.99426553111466,5.259430350687636,5.216348013986932
342,4,10,1351.4757013320923,0.0005,3,10,1,10,1.0,fl,-24.48030771118608,6.418493773515882,6.380502003818938
344,5,10,1290.1556363105774,0.0005,3,10,1,50,0.2,central,-15.323111636130283,0.2989130395796859,
345,5,10,1290.1556363105774,0.0005,3,10,1,50,0.2,local,-18.83187219278455,8.841229413595267,8.791972201931152
346,5,10,1290.1556363105774,0.0005,3,10,1,50,0.2,fl,-17.419306096562295,6.583825276219789,6.505911978851961
352,5,10,1374.2463173866272,0.0005,3,10,1,100,0.2,central,-15.297862671158057,0.16588138766248275,
353,5,10,1374.2463173866272,0.0005,3,10,1,100,0.2,local,-17.352726786305716,7.744171655893544,7.7167711189094685
354,5,10,1374.2463173866272,0.0005,3,10,1,100,0.2,fl,-16.245468836616038,6.092386709791043,6.048078748380617
